age_group,gain_noturgent,gain_urgent,loss_noturgent,loss_urgent,neutral_noturgent,neutral_urgent
0-9,0.0,0.0,0.0,,0.0,0.0
10-19,,,,,,
20-29,0.021739130434782608,0.061224489795918366,0.0,0.08695652173913043,0.075,0.1282051282051282
30-39,0.07692307692307693,0.012195121951219513,0.0,0.0375,0.05063291139240506,0.05952380952380952
40-49,0.11764705882352941,0.04081632653061224,0.0,0.05454545454545454,0.075,0.031746031746031744
50-59,0.03389830508474576,0.023809523809523808,0.0,0.021739130434782608,0.05660377358490566,0.1
60-69,0.03225806451612903,0.12244897959183673,0.0,0.0,0.044444444444444446,0.05263157894736842
70-79,0.0,0.0,0.0,0.05555555555555555,0.13636363636363635,0.15789473684210525
80-89,0.0,0.0,0.0,0.0,0.0,0.0
90-99,0.0,0.0,0.0,1.0,,0.0
